Review,Polarity
"The movie goes more into the origins of the eternals and gives you an insight into each of their personalities. Don't go in expecting an all out established set of characters kicking ass from start to finish. The story is fairly well told but I must admit that it does lack some action but the action you do get is very well done and visually stunning, especially those that feature Thena (Angelina Jolie) and Makkari the speedster. It is hard to see how these characters will have a future intertwined with the rest of the MCU stories but it does day ""the eternals will return..."" at the end.",Pos
"The movie opened today where I live, so I saw it!",Neu
"""Eternals"" is an Action - Drama movie in which we watch the start of a new saga of Marvel. The Eternals are a group of immortal beings living on Earth, helping people throughout its whole history and through all civilizations.",Neu
"First, the Eternals is visually appeasing, funny at times, exciting at others, and tells a complex story. Yeah, and I sorta hated it.",Neg
Honestly felt trapped in the cinema. If I wasn't with people I would have walked out. I would rather watch Thor 2 on a loop for 24 hours than watch this film again.,Neg
"Eternals is a new superhero movie in the Marvel film series. The film is directed and part written by Chloé Zhao, the director of The Rider and Nomadland.",Neu
"Again a lot of negative reviews on here. Negative reviews from people that will never be satisfied, whatever movie you make they will always bash it down. The funniest of them all is from a reviewer rating it with three stars. He watched it twice! Is that not ridiculous? Watching a movie that you score that low twice? I only watch movies that I really liked twice and Eternals is going to be one of them. The story is interesting, the CGI's stunning, the acting more than decent (but that's absolutely normal when you see the great cast it has). There's clearly going to be a sequel, one that I will watch for sure. I just hope those negative people will skip that one, as it's going to be of the same level. So if you for some obscure reason didn't like Eternals just do us a favor and skip that one and let the Marvel fans enjoy their movies.",Pos
"I enjoyed the spectacular special effects but, unlike Shang Chi, the storyline played second fiddle to the aesthetics. It focuses too much on (Harry) style, but with little to inadequate substance. It had a star studded cast from whom I expected or at least hoped for better than what was delivered.",Neg
"I enjoyed this movie way more than I thought I would. It's definitely superior to anything else that's come out since Endgame. If you think, like I thought, that the movie would be overcrowded, it's really not. Every character brings a unique perspective, their relationships are genuine, and you sympathize with both those in the right and those in the wrong. There are some surprises, but the kind where you look back and think, ok, that makes sense. Plus the acting, cinematography, and storytelling overall are amazing.",Pos
"How can anyone give this movie a good rating is beyond me. Movie has no substance, a deranged some one might call a plot. And 15 minutes of action in a 2-1/2 hour movie, rest of which is total boring. So they advertise 5 minutes of action to try to sell a real flop imo. I wasted my money to see this movie. Anybody that reads my reviews knows I hate to give really low reviews, i really have to dislike a movie a lot in order to give only one star.",Neg
"Wow! This is nothing like any of the earlier MCU movies. Kudos to Chloé Zhao for stepping out of MCU's comfort zone in creating a visionary experience and a film that stands out for its stunning location shots, eye-popping action scenes, a diverse cast (including Marvel's first gay character) and infectious performances - thumbs up to the two leads Gemma Chan and Richard Madden for their engaging screen presence and chemistry. There's plenty of humour and wit too, and despite its almost 160 minute run-time, the movie moves at breakneck speed to tell its story of the origins of mankind. A great turning point for Phase 4 of the Marvel Cinematic Universe.",Pos
"After watching this movie I am still not sure if I liked it or not. It was something different than all the other marvel movies, but it does not mean that it was different in a bad way. The plot could had been written a little bit better, because there were a few scenes that could had been better. I did not expect such scene after the credits, I would have to say that it surprised me.",Pos
Ok i have never fallen asleep during ANY Marvel movie until i saw eternals.. Sooo long with lack of action and too much sappy dialog. Also you kill off the hottest character first! But at least Jon Snow got to be reunited with his cousin Rob Stark. And he still knows nothing!!,Neg
I wasn't prepared to be moved to tears but there I was.,Pos
"Since this movie was first announced, it'd piqued my interest. I personally was holding out hope that this would finally be an MCU film with a group of characters from space who I actually liked and weren't a bunch of a-holes. An opening crawl not only explains who Eternals are, but Deviants and Celestials too. There's enough exposition through dialogue to answer any questions one might have whilst watching (such as why these Eternals were 'Switzerland' during the battle against Thanos). Complaints about this film being 'confusing' because it alternates between past and present must be from those with short attention spans, as it's quite obvious what time period the movie's in at any given time thanks to helpful location title cards. Too many characters? I think not. Endgame had 30-something characters and nobody complained. Each of these Eternals has a distinct personality.",Pos
"Robb died and Jon is about to go fight the bad guys with a sword, It's like GOT all over again, only now Cersei doesn't drink that much wine.",Pos
"""Eternals"" is a stylized movie directed by Chloé Zhao. And her style is partially what makes this film feel like no other Marvel movie. Like most of her works, this movie feels realistic; partly due to the use of natural light and no slow motion. Making the lighting look natural makes otherwise absurd scenes look slightly more realistic.",Pos
"I like it since the beginning of the story. It's been cool to see eternals through the ages, but the past-to-present contrast isn't that smooth. The characters are cool and their powers are awesome, but it's frustrating in some scenes. But overall, it's actually a good movie, so it shouldn't be underestimated like that, the scale is big, it's epic, the visual work is very beautiful, very spectacular, want to see it again to enjoy the visual work.",Pos
Eternals,Neu
I really enjoyed this different pace MCU film. So many questions left at the end. It will be interesting to see where the MCU goes from here and how everything is tied together. The film had me on the edge of my seat. Amazing visuals and a great cast.,Pos
"While I wouldn't say that Eternals deserves to be the lowest rated MCU movie (My personal pick for worst MCU film is Thor The Dark World), there are glaring issues with the plot, editing and pacing of the film that should have been addressed.",Pos
"After hearing so much bad reviews for this movie, I almost didn't watch it. But now after watching it TWICE, I have to say the reviews are flawed! This was a really good movie. From the story, the effects, the costumes, right down to the fight scenes which were just took dope and watching Angelina kick@$$ was so sexy. I've missed her in such action roles. I in particularly loved how they took us on a journey of discovering who the Eternals were and why they existed. I also loved how each Character had a moment to shine. Everyone played their role beautifully, the only let down for me was the forced gay character in there. Aside that, the movie made sense and I can't wait to see how they fight the big guy in the next one.",Pos
...they care for each other and they love so they are worth saving.... I mean how many times is that storyline going to be regurgitated? And as an eternal it took you 7000 years to figure that one out?,Neg
"Compiling bunch of name actors and throwing them into a movie with total mess, boring conversations and weak story, no the visuals won't help out. One of the worst marvel productions (join the DC bad movies).",Neg
Eternals starts with a text explaining the creation of the world and the reason of the Eternals; but the last line says everything changed after the last mission.,Neu
Visually stunning.,Pos
"The Good: If I have to give Eternals credit for any single thing, it's how distinct this movie is from the rest of the MCU. It's slower paced, more muted, more mature (in parts), and thankfully, lacking the ""comedy"" of the other Marvel movies. Zhao's cinematography is really nice too, even if the action scenes are lacking a punch. Action is clearly not her forte.",Pos
"'Eternals' is boring. There's no introduction to the characters playing the heroes. There's no introduction of the villain(s). There's no character building what so ever. I'm one who believes you DO NOT NEED an origin story for every film, but that doesn't mean you should expect everyone to know who these characters are and proceed from there. The dialogue was poor. So bad that I became easily distracted by the audience around me. The people around me were not enjoying this movie either. There's a lot of conversation from the beginning to the middle, but I simply can not recall a single one. It's a Marvel movie, and yet there were ZERO quotable lines for us to rejoice in or share in hashtags. The Deviants, the creatures or heroes battle were basic stock villains you'd see added to the background of a big boss fight. Salma Hayek is easily recognizable, we learn she's in charge, and yet you see her the least. When her character is found dead, you don't care. The characters weep and mourn, but obviously they knew her far better than she was presented. IMHO the Director chose to focus solely on diversity than basic character structure.",Neg
"Yes I know its part of the mcu, but if you look at this movie as a seperate entity it becomes better in some ways. In this movie we find out about the ancient race of superheros, who were the first ones on earth. They are acted by a pretty great group of actors including gemma chan and richard madden. All of them were good and no characters felt out of place. The cgi couldve been a little better and its evident that this movie is not as great as the other offerings, but it still is good at giving us a glimpse as to other characters that will come into the mcu and interact with other characters in secret walking. Overall an interesting and good marvel film, but not without the flaws.",Pos
I don't understand why people like to review bomb new/different movies. There's literally people on this program that will watch EVERY SINGLE Marvel movie and hate on them all. If you hate them all so bad why are you watching it?,Pos
"This one-of-a-kind movie is a story like an ode to this planet, its history, but moreover the humanity, from its worst to its best aspects... And the complexity of life, whoever you are, the role we can choose or not to play... Yes, all these choices and opposite beliefs that make this world a big dramatic mess at times, but also a wonderful place that happens to generate the most magnificent things there is... And how deep, heartfelt connections are a decisive factor ; because love, in the end, is what matters and gives any life trajectory a more fulfilled feel... Even if this love takes you to your absolute demise, your existence will nonetheless have had a greater meaning and resonance with it...",Pos
"I really wanted to enjoy this movie, the acting was very good as were the special effects, but the movie felt over long and deliberately stretched. Out of all the possible comics in the MCU, I think this was a mistake, it's the same thing I feel about Captain Marvel, they are too powerful, godlike, they don't have enough flaws. I think this would have been better as a stand-alone.",Neg
